"id","language","theme","year","title","publisher","url","evidence","cash_etf_use"
"S001","EN","crowding","2010","Detecting Crowded Trades in Currency Funds","NBER","https://www.nber.org/papers/w15698","Manager-style crowding preceded carry liquidation; positioning and liquidity must be read together.","monitor"
"S002","EN","crowding","2021","Crowded Trades and Tail Risk","SSRN","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3326802","Hedge-fund ownership crowding predicts asymmetric downside and fund drawdowns in distress.","monitor"
"S003","EN","crowding","2017","Crowded Positions: An Overlooked Systemic Risk for Central Clearing Parties","SSRN / Review of Asset Pricing Studies","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2422250","Crowded positions raise CCP exposure most on already turbulent days.","context"
"S004","EN","crowding","2007","What Happened to the Quants in August 2007?","SSRN","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1015987","Correlated deleveraging and crowded statistical-arbitrage positions produced an abrupt quant unwind.","monitor"
"S005","EN","crowding","2007","Asset Fire Sales (and Purchases) in Equity Markets","NBER","https://www.nber.org/papers/w11357","Flow-forced mutual-fund trades create persistent price pressure and later reversal.","monitor"
"S006","EN","crowding","2008","Hedge Funds as Investors of Last Resort?","NBER","https://www.nber.org/papers/w13786","Short interest rises before predictable mutual-fund fire sales; crowded exits attract predatory liquidity.","context"
"S007","EN","crowding","2023","Asset-Management Contracts and Equilibrium Prices","NBER","https://www.nber.org/papers/w28020","Benchmarking can endogenously inflate prices and create crowded trades.","monitor"
"S008","EN","crowding","2011","Stock Price Fragility","Journal of Financial Economics","https://doi.org/10.1016/j.jfineco.2011.06.003","Common ownership and low holding diversity make prices more sensitive to fund flows.","monitor"
"S009","EN","crowding","2020","Crowded Trades, Market Clustering, and Price Instability","Tinbergen Institute","https://papers.tinbergen.nl/20007.pdf","Trading overlap causally increases return-tail instability.","monitor"
"S010","EN","crowding","2025","Trading in Crowded Markets","Journal of Financial and Quantitative Analysis","https://jfqa.org/wp-content/uploads/2025/03/24519_Trading_in_Crowded_Markets_Wang.pdf","Underestimating crowding leads to aggressive inventories and abrupt fire-sale crashes.","context"
"S011","EN","crowding","2009","Market Liquidity and Funding Liquidity","Review of Financial Studies","https://doi.org/10.1093/rfs/hhn098","Funding and market liquidity reinforce each other in margin spirals.","monitor"
"S012","EN","crowding","2011","Fire Sales in Finance and Macroeconomics","Journal of Economic Perspectives","https://doi.org/10.1257/jep.25.1.29","Forced sales depress prices when natural buyers are constrained or specialized.","context"
"S013","EN","crowding","2022","MSCI Security Crowding Model","MSCI","https://www.msci.com/research-and-insights/paper/msci-security-crowding-model","Combines valuation, short interest, liquidity, volatility and momentum into security crowding scores.","monitor"
"S014","EN","crowding","2021","MSCI Security Crowding Model Factsheet","MSCI","https://www.msci.com/downloads/web/msci-com/data-and-analytics/crowding-solutions/MSCI-Security-Crowding-Model-Factsheet.pdf","Documents cross-sectional and time-series layers for portfolio crowding surveillance.","monitor"
"S015","EN","crowding","2024","Can Crowding Scores Quantify US Stocks' Fragility?","MSCI","https://www.msci.com/research-and-insights/blog-post/can-crowding-scores-quantify-us-stocks-fragility","Crowding adds drawdown information beyond momentum and value.","monitor"
"S016","EN","crowding","2023","Nonbank Financial Intermediaries: Vulnerabilities amid Tighter Financial Conditions","IMF","https://www.imf.org/-/media/files/publications/gfsr/2023/april/english/ch2.pdf","Common exposures plus correlated redemptions amplify fire sales.","monitor"
