id,type,year,title,url,venue,relevance_one_line
EN-001,journal,1992,Simple Technical Trading Rules and the Stochastic Properties of Stock Returns,https://doi.org/10.1111/j.1540-6261.1992.tb04681.x,The Journal of Finance,Brock-Lakonishok-LeBaron classic: technical trading rules on the Dow; the original evidence and its data-snooping caveats.
EN-002,journal,2010,Trend-following trading strategies in commodity futures: A re-examination,https://doi.org/10.1016/j.jbankfin.2009.08.004,Journal of Banking & Finance,Commodity trend-following rules profitable over decades; out-of-sample support for simple trend filters.
EN-003,working-ssrn,2011,Momentum Strategies in Futures Markets and Trend-following Funds,https://doi.org/10.2139/ssrn.1968996,SSRN working paper,Baltas-Kosowski: TSMOM in futures explains CTA returns; capacity and correlation structure of trend strategies.
EN-004,journal,2012,Time series momentum,https://doi.org/10.1016/j.jfineco.2011.11.003,Journal of Financial Economics,Canonical TSMOM paper: 12m own-return sign predicts futures returns across 58 assets; basis for our absolute-momentum gates.
EN-005,journal,2013,A New Anomaly: The Cross-Sectional Profitability of Technical Analysis,https://doi.org/10.1017/s0022109013000586,Journal of Financial and Quantitative Analysis,Han-Yang-Zhou: MA timing on volatility-sorted portfolios earns large cross-sectional profits; technical analysis as anomaly.
EN-006,journal,2014,Forecasting the Equity Risk Premium: The Role of Technical Indicators,https://doi.org/10.1287/mnsc.2013.1838,Management Science,"Neely et al: technical indicators forecast equity premium as well as macro variables, especially in recessions."
EN-007,working-ssrn,2014,Risk Adjusted Time Series Momentum,https://doi.org/10.2139/ssrn.2457647,SSRN working paper,Risk-adjusted TSMOM: scaling positions by vol improves crisis behavior; template for our vol-targeted books.
EN-008,journal,2014,The real-life performance of market timing with moving average and time-series momentum rules,https://doi.org/10.1057/jam.2014.25,Journal of Asset Management,Zakamulin: realistic out-of-sample market timing with MA/TSMOM is far weaker than in backtests; anti-overfit caution.
EN-009,arxiv,2014,Two Centuries of Trend Following,https://arxiv.org/abs/1404.3274,arXiv preprint,CFM: trend following statistically significant for two centuries across all asset classes; deep prior for trend persistence.
EN-010,working-ssrn,2016,The Enduring Effect of Time-Series Momentum on Stock Returns Over Nearly 100-Years,https://doi.org/10.2139/ssrn.2720600,SSRN working paper,TSMOM on US stocks over ~100 years remains profitable; long-sample robustness for time-series rules.
EN-011,journal,2016,"The trend is our friend: Risk parity, momentum and trend following in global asset allocation",https://doi.org/10.1016/j.jbef.2016.01.002,Journal of Behavioral and Experimental Finance,Clare et al: trend following beats buy-and-hold in global multi-asset allocation; direct TAA evidence.
EN-012,journal,2016,Time series momentum and volatility scaling,https://doi.org/10.1016/j.finmar.2016.05.003,Journal of Financial Markets,Shows TSMOM profits largely come from volatility scaling; relevant to our inverse-vol weighting choice.
EN-013,journal,2016,Which Trend Is Your Friend?,https://doi.org/10.2469/faj.v72.n3.3,Financial Analysts Journal,Levine-Pedersen: which trend definition (MA crossovers vs returns) matters less than vol scaling and horizon.
EN-014,journal,2017,A Century of Evidence on Trend-Following Investing,https://doi.org/10.3905/jpm.2017.44.1.015,The Journal of Portfolio Management,Hurst-Ooi-Pedersen: trend following profitable in every decade since 1880; long-horizon prior for trend overlays.
EN-015,journal,2017,The Trend Is Your Friend: Time-Series Momentum Strategies across Equity and Commodity Markets,https://doi.org/10.1093/rof/rfw048,Review of Finance,TSMOM works across international equity and commodity markets; supports cross-market generalization of our ETF rules.
EN-016,journal,2017,Time series momentum and moving average trading rules,https://doi.org/10.1080/14697688.2016.1205209,Quantitative Finance,Proves TSMOM and moving-average rules are near-equivalent signals; justifies treating MA filters as TSMOM variants.
EN-017,journal,2018,Cross-Sectional and Time-Series Tests of Return Predictability: What Is the Difference?,https://doi.org/10.1093/rfs/hhx131,The Review of Financial Studies,Goyal-Jegadeesh: TS vs XS momentum difference is mostly the net long position; clarifies what our long-only rotation actually harvests.
EN-018,journal,2019,Factor Momentum Everywhere,https://doi.org/10.3905/jpm.2019.45.3.013,The Journal of Portfolio Management,Gupta-Kelly: momentum of factor returns themselves is pervasive; factor-of-factor timing evidence.
EN-019,working-ssrn,2019,Momentum Turning Points,https://doi.org/10.2139/ssrn.3489539,SSRN Electronic Journal,Garg-Goulding-Harvey-Mazzoleni: momentum turning points (slow vs fast signal disagreement) drive strategy risk; motivates dual-lookback gates.
EN-020,book-chapter,2020,"Demystifying Time-Series Momentum Strategies: Volatility Estimators, Trading Rules and Pairwise Correlations",https://doi.org/10.1002/9781119599364.ch3,Market Momentum,"Baltas-Kosowski follow-up: volatility estimators, trading rules and pairwise correlations materially change TSMOM Sharpe."
EN-021,journal,2020,Time series momentum: Is it there?,https://doi.org/10.1016/j.jfineco.2019.08.004,Journal of Financial Economics,Huang-Li-Wang-Zhou critique: TSMOM t-stats weak asset-by-asset; sign rule partly fits the mean - keep expectations honest.
EN-022,journal,2022,Factor Momentum and the Momentum Factor,https://doi.org/10.1111/jofi.13131,The Journal of Finance,Ehsani-Linnainmaa: stock momentum largely reflects factor momentum; changes what a momentum screen actually picks up.
EN-023,journal,2023,Factor Momentum,https://doi.org/10.1093/rfs/hhad006,The Review of Financial Studies,Arnott et al: factor momentum is strongest in the first month and concentrated in unpriced factors.
EN-024,journal,2024,Breaking Bad Trends,https://doi.org/10.1080/0015198x.2023.2270084,Financial Analysts Journal,Breaking Bad Trends: dynamic trend speed selection cuts whipsaw losses at turning points; practical fix we can borrow.
EN-025,arxiv,2026,The Science and Practice of Trend-Following Systems,https://arxiv.org/abs/2607.19497,arXiv preprint,"Sepp-Lucic 2026: comprehensive practitioner treatment of trend system design choices (signals, sizing, portfolio construction)."
