id,type,year,title,url,venue,relevance_one_line
1,broker,2026,"华泰证券金工深度研究：量化行业轮动的“崎岖之路”","http://ftp.microbell.com/data/ed6f88d555977bd8c9ba1bce8b4e571b.html","迈博汇金","基本面行业因子2024年几乎全军覆没；残差动量+拥挤度+遗传规划经受时间考验"
2,broker,2025,"华泰金工：基于市场展望信息构建行业轮动策略","https://finance.sina.com.cn/stock/stockzmt/2025-08-26/doc-infnheku0291073.shtml","新浪财经转载","公募季报文本情绪构建季频行业轮动 年化16.23%"
3,broker,2020,"华泰金工：拥挤度指标在行业配置中的应用","https://finance.sina.com.cn/stock/stockzmt/2020-02-11/doc-iimxxstf0429984.shtml","新浪财经转载","272个候选拥挤度指标筛出乖离率/换手率/量价相关/峰度等6类有效指标"
4,broker,2025,"华泰金工：基于趋势和拐点的市值因子择时模型","https://finance.sina.com.cn/stock/stockzmt/2025-05-29/doc-ineyetkk9848799.shtml","新浪财经转载","十类拥挤度指标门限测试 可提前约20日提示大小盘风格反转"
5,broker,2020,"华泰证券：行业配置策略：拥挤度视角（基本面轮动系列之九）","https://crm.htsc.com.cn/doc/2020/10750101/310ffe9b-af15-4134-9b7d-7634364c0429.pdf","华泰证券官网PDF","换手率峰度/换手率/量价相关等指标滚动95%分位阈值构建行业拥挤度"
6,broker,2024,"中信证券：构建景气为纲兼顾交易价值的ETF轮动策略","https://finance.sina.com.cn/stock/relnews/hk/2024-06-07/doc-inaxwhnm5488326.shtml","新浪财经转载","景气+交易价值双维度行业ETF轮动框架"
7,broker,2026,"中信建投：2025年行业轮动及ETF轮动策略表现亮眼","https://news.qq.com/rain/a/20260108A019LH00","腾讯新闻转载","行业轮动ETF组合月度超额1.02% 全时段年化23.08%"
8,broker,2025,"财信证券：金工行业轮动及月度ETF策略（2025年6月）","https://www.hibor.com.cn/data/e12fc44fd59e782b685c248f6cc00bc9.html","慧博投研","换手率斜率提示机会+拥挤度（成交集中度/内部关联度/乖离率）提示风险"
9,broker,2025,"财信证券：金工行业轮动及月度ETF策略（2025年5月）","https://wap.hibor.com.cn/repinfodetail_4127185.html","慧博投研","低拥挤+高量能双核策略月度更新并映射行业ETF标的"
10,broker,2025,"财信证券：金工成果回顾：财信金工行业轮动模型","https://max.book118.com/html/2025/0312/7163144034010046.shtm","原创力文档","2008-2025回测Sharpe 0.45 vs 行业等权0.24 年化11.13%"
11,broker,2022,"招商证券：行业轮动策略月报：“预期共振”七月推荐","https://www.fhyanbao.com/rpview/798068","烽火研报","景气预期共振框架月度行业推荐"
12,broker,2024,"招商证券：预期共振自适应行业轮动（十二月）","https://www.hibor.com.cn/repinfodetail_3762297.html","慧博投研","景气度+量价+分析师预期12指标自适应加权"
13,broker,2024,"招商证券：预期共振自适应行业轮动（十月）","http://m.hibor.com.cn/wap_detail.aspx?id=d5ce1b58f2a1c30bdf7417e1506bd08a","慧博投研","同系列月度行业组合跟踪"
14,broker,2024,"招商证券：预期共振自适应行业轮动（十一月）","https://www.nxny.com/report/view_5796247.html","nxny研报库","任瞳/许继宏团队月度行业组合"
15,broker,2025,"招商证券：预期共振自适应行业轮动（三月）","https://wap.hibor.com.cn/repinfodetail_3948994.html","慧博投研","同系列月度行业组合跟踪"
16,broker,2026,"国泰海通：风格及行业观点月报（2026.06）","https://wap.hibor.com.cn/repinfodetail_5176595.html","慧博投研","双驱轮动模型给出小盘成长信号"
17,broker,2026,"国泰海通：ETF配置系列五：四维度行业轮动策略","https://www.fxbaogao.com/detail/5294764","发现报告","四维度行业打分IC 12.54%；收益弹性/流动性/相关性三种ETF映射模式"
18,broker,2026,"国泰海通：ETF配置系列四：多样化的风格轮动ETF配置策略","https://news.qq.com/rain/a/20260309A087GL00","腾讯新闻转载","红利/成长风格轮动 美债利率因子对风格切换解释力最强"
19,broker,2026,"国泰海通：ETF配置系列六：四象限月度行业轮动策略","https://www.fhyanbao.com/rpview/1858811","烽火研报","四象限（景气×拥挤）月度行业轮动并映射ETF"
20,broker,2024,"广发金工：2025年度量化策略：企稳向上关注成长风格","http://yanbao.us/wechatreport/236762.html","研报网转载","年度量化观点与风格判断"
21,broker,2025,"广发金工：均线情绪持续修复：A股量化择时","https://finance.sina.com.cn/stock/stockzmt/2025-07-14/doc-inffkshv6332831.shtml","新浪财经转载","CNN识图K线形态映射行业配置"
22,broker,2024,"广发金工：价值成长风格分化：A股量化择时","http://yanbao.us/wechatreport/225227.html","研报网转载","均线情绪+风格分化度择时周报"
23,broker,2024,"广发金工：市场缩量调整：A股量化择时","http://yanbao.us/wechatreport/223162.html","研报网转载","缩量环境下的择时信号解读"
24,broker,2026,"广发金工：AI识图关注现金流物流交运","https://finance.sina.com.cn/stock/stockzmt/2026-08-17/doc-ininqpeu0366847.shtml","新浪财经转载","AI识别K线图形态输出行业观点"
25,broker,2024,"广发证券：基于多期限残差的因子选股研究","https://www.hibor.com.cn/repinfodetail_3409812.html","慧博投研","多期限残差合成因子周频RankIC约-4.14%"
26,broker,2019,"光大证券：再论动量因子（多因子系列）","https://bigquant.com/wiki/doc/3qJPbvujfH","BigQuant转载","Blitz残差动量在A股复现 IC波动率由10%降至8%"
27,broker,2026,"华泰证券：国防军工行业触发高拥挤（金融工程点评）","https://www.fhyanbao.com/rpview/1813597","烽火研报","2026-01-11拥挤度模型实盘预警军工行业阶段性高点的案例"
28,broker,2023,"财信证券：金工专题行业轮动系列1：换手率的量能提示","https://www.fhyanbao.com/rpview/879764","烽火研报","换手率斜率捕捉量能转折提示行情启动"
29,broker,2026,"东方证券：量化研究参考系列之一：QuantaAlpha用大模型做量化因子挖掘","https://www.fxbaogao.com/detail/5339368","发现报告","复现QuantaAlpha并修正数据泄露 修正后ICIR明显下降"
30,broker,2017,"光大证券：技术择时系列之一：基于阻力支撑相对强度（RSRS）的市场择时","http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/strategy/rptid/3745408/index.phtml","新浪财经研报","RSRS斜率标准分择时 N=18 M=600 仅需日频高低价"
31,broker,2026,"开源证券：资产配置月报（2026年8月）","https://www.microbell.com/data/e859a866a5284802051257c9b1cffd41.html","迈博汇金","六维行业轮动框架双周频调仓并给出ETF轮动组合"
32,broker,2024,"开源证券：行业轮动3.0：范式模型迭代与ETF轮动应用","https://www.fxbaogao.com/detail/4622942","发现报告","六个子模型最小化排名跟踪误差动态合成 ETF组合年化25.5%"
33,broker,2026,"开源证券：开源金股8月（含行业轮动3.0组合）","https://pdf.dfcfw.com/pdf/H3_AP202607281827413644_1.pdf","东方财富PDF","行业轮动3.0月度组合跟踪"
34,broker,2023,"兴业证券：分歧和共振：直击行业轮动痛点","http://www.hibor.com.cn/repinfodetail_3205211.html","慧博投研","内生动量+动量溢出+资金流 年化15.39% 月胜率73%"
35,broker,2025,"兴业证券：高频系列十一：流动性因子全解析：选股择时与多策略","https://www.hibor.com.cn/data/a21e202196f0b7abb542bd1df839d750.html","慧博投研","流动性枯竭作为择时风险信号"
36,broker,2025,"兴业证券：三季报等积极因素催化看好科技成长景气主线（择时与行业配置定期）","https://www.microbell.com/repinfodetail_4631518.html","迈博汇金","择时+行业配置定期跟踪"
37,broker,2025,"国盛证券：量化点评：如何寻找2025年的领涨行业","https://www.fxbaogao.com/detail/4694758","发现报告","RS相对强弱（20/40/60日排名均值）>90%作领涨信号 景气-趋势-拥挤度框架"
38,broker,2026,"太平洋证券：金工ETF点评：宽基ETF周净流出471.54亿 银行有色拥挤变幅较大","https://fxgroup.hibor.com.cn/data/eb9b0b46b80d3b68854cff412822a22f.html","慧博投研","ETF口径拥挤度日/周频监测样例"
39,broker,2026,"太平洋证券：金工ETF点评：行业主题ETF单日净流入131.68亿 有色通信保持高拥挤","https://www.fhyanbao.com/rpview/1727095","烽火研报","行业主题ETF资金流与拥挤度联动监测"
40,broker,2024,"华泰金工：基于ETF资金流构建行业轮动策略","https://www.nxny.com/report/view_5777065.html","nxny研报库","ETF资金流是反向指标 净流出高分位买入 年化20%+"
41,broker,2026,"国盛证券：量化点评：行业ETF轮动模型2025年超额9.3%","https://www.fhyanbao.com/rpview/1733205","烽火研报","行业ETF轮动模型年度业绩跟踪"
42,broker,2024,"华泰金工：双目标遗传规划应用于行业轮动","https://www.nxny.com/report/view_5651035.html","nxny研报库","双目标GP直接在行业指数量价上挖因子"
43,broker,2025,"华泰金工：遗传规划超额屡创新高：春季量化观点","http://m.hibor.com.cn/wap_detail.aspx?id=a3713b47e713a6d3ca235cf33e30f5c7","慧博投研","GP行业轮动扣费前年化超额28%"
44,broker,2025,"华泰金工：以空间换时间：多目标基本面选股因子挖掘框架","https://wap.hibor.com.cn/repinfodetail_4354948.html","慧博投研","|IC|/胜率/NDCG@k三维目标缓解因子挖掘过拟合"
45,broker,2025,"方正证券：行业轮动月报202506","https://www.hibor.com.cn/data/fe32b562970f8961fc52eb9e7f4a1fb6.html","慧博投研","货币+信用周期+多因素行业轮动 年化超额9.75%"
46,broker,2025,"方正证券：行业轮动月报202508","http://dx.microbell.com/data/87968a402e3c9aaa221cb83291918763.html","迈博汇金","7月组合胜基准3.70%"
47,broker,2025,"民生证券：量化大势研判202506：推荐关注预期成长风格","https://www.fhyanbao.com/rpview/1642049","烽火研报","大势研判+风格轮动月度框架"
48,broker,2025,"民生证券：量化周报：维持震荡偏乐观判断","https://www.fhyanbao.com/rpview/1664133","烽火研报","量化择时周度信号"
49,broker,2025,"方正证券：金工周报：多空博弈因子","https://foundersc.com/infoResearchMacro/8660932.jhtml","方正证券官网","11个特色量价因子RankICIR>4"
50,broker,2026,"中金公司：2026年量化策略：随“集”应变","https://k.sina.cn/article_7857201856_1d45362c001904mz8m.html","新浪转载","行业轮动速度=36月滚动排名变化均值 区分共识/分歧行情"
51,broker,2022,"中金公司：风格均衡配置继续看好周期行业（行业轮动系列2）","https://www.usmartsecurities.com/zh-cn/news-detail/6895180733703373223","uSMART转载","多维叠加模型月度行业配置"
52,broker,2022,"中金公司：A股或将转为震荡成长优势延续（量化择时）","https://img2.zhitongcaijing.com/content/detail/748805.html","智通财经转载","量化择时月度观点"
53,broker,2021,"中金公司：股市有望反弹成长阶段性占优","https://m.gelonghui.com/p/560249","格隆汇转载","量化择时+风格轮动月度观点"
54,broker,2022,"中金公司：短期看好价值消费科技配置价值提升","https://www.usmart.hk/zh-cn/news-detail/6884087230294507856","uSMART转载","量化行业配置月度观点"
55,broker,2024,"泰康红利低波ETF（560150）投价报告：分红和盈利双优稳健投资新选择","https://pdf.dfcfw.com/pdf/H301_AP202411191640954110_1.pdf","东方财富PDF","中证红利低波动指数H30269编制与历史表现分析"
