survey_id,source_file,source_id,language,theme,type,year,title,url,normalized_url,publisher_or_venue,relevance,cash_etf_use
LIT001,lit_cn_sources.csv,1,CN,,broker,2026,华泰证券金工深度研究：量化行业轮动的“崎岖之路”,http://ftp.microbell.com/data/ed6f88d555977bd8c9ba1bce8b4e571b.html,https://ftp.microbell.com/data/ed6f88d555977bd8c9ba1bce8b4e571b.html,迈博汇金,基本面行业因子2024年几乎全军覆没；残差动量+拥挤度+遗传规划经受时间考验,
LIT002,lit_cn_sources.csv,2,CN,,broker,2025,华泰金工：基于市场展望信息构建行业轮动策略,https://finance.sina.com.cn/stock/stockzmt/2025-08-26/doc-infnheku0291073.shtml,https://finance.sina.com.cn/stock/stockzmt/2025-08-26/doc-infnheku0291073.shtml,新浪财经转载,公募季报文本情绪构建季频行业轮动 年化16.23%,
LIT003,lit_cn_sources.csv,3,CN,,broker,2020,华泰金工：拥挤度指标在行业配置中的应用,https://finance.sina.com.cn/stock/stockzmt/2020-02-11/doc-iimxxstf0429984.shtml,https://finance.sina.com.cn/stock/stockzmt/2020-02-11/doc-iimxxstf0429984.shtml,新浪财经转载,272个候选拥挤度指标筛出乖离率/换手率/量价相关/峰度等6类有效指标,
LIT004,lit_cn_sources.csv,4,CN,,broker,2025,华泰金工：基于趋势和拐点的市值因子择时模型,https://finance.sina.com.cn/stock/stockzmt/2025-05-29/doc-ineyetkk9848799.shtml,https://finance.sina.com.cn/stock/stockzmt/2025-05-29/doc-ineyetkk9848799.shtml,新浪财经转载,十类拥挤度指标门限测试 可提前约20日提示大小盘风格反转,
LIT005,lit_cn_sources.csv,5,CN,,broker,2020,华泰证券：行业配置策略：拥挤度视角（基本面轮动系列之九）,https://crm.htsc.com.cn/doc/2020/10750101/310ffe9b-af15-4134-9b7d-7634364c0429.pdf,https://crm.htsc.com.cn/doc/2020/10750101/310ffe9b-af15-4134-9b7d-7634364c0429.pdf,华泰证券官网PDF,换手率峰度/换手率/量价相关等指标滚动95%分位阈值构建行业拥挤度,
LIT006,lit_cn_sources.csv,6,CN,,broker,2024,中信证券：构建景气为纲兼顾交易价值的ETF轮动策略,https://finance.sina.com.cn/stock/relnews/hk/2024-06-07/doc-inaxwhnm5488326.shtml,https://finance.sina.com.cn/stock/relnews/hk/2024-06-07/doc-inaxwhnm5488326.shtml,新浪财经转载,景气+交易价值双维度行业ETF轮动框架,
LIT007,lit_cn_sources.csv,7,CN,,broker,2026,中信建投：2025年行业轮动及ETF轮动策略表现亮眼,https://news.qq.com/rain/a/20260108A019LH00,https://news.qq.com/rain/a/20260108a019lh00,腾讯新闻转载,行业轮动ETF组合月度超额1.02% 全时段年化23.08%,
LIT008,lit_cn_sources.csv,8,CN,,broker,2025,财信证券：金工行业轮动及月度ETF策略（2025年6月）,https://www.hibor.com.cn/data/e12fc44fd59e782b685c248f6cc00bc9.html,https://hibor.com.cn/data/e12fc44fd59e782b685c248f6cc00bc9.html,慧博投研,换手率斜率提示机会+拥挤度（成交集中度/内部关联度/乖离率）提示风险,
LIT009,lit_cn_sources.csv,9,CN,,broker,2025,财信证券：金工行业轮动及月度ETF策略（2025年5月）,https://wap.hibor.com.cn/repinfodetail_4127185.html,https://wap.hibor.com.cn/repinfodetail_4127185.html,慧博投研,低拥挤+高量能双核策略月度更新并映射行业ETF标的,
LIT010,lit_cn_sources.csv,10,CN,,broker,2025,财信证券：金工成果回顾：财信金工行业轮动模型,https://max.book118.com/html/2025/0312/7163144034010046.shtm,https://max.book118.com/html/2025/0312/7163144034010046.shtm,原创力文档,2008-2025回测Sharpe 0.45 vs 行业等权0.24 年化11.13%,
