"id","type","year","title","url","venue","relevance_one_line"
"EN001","paper","2016","101 Formulaic Alphas","https://arxiv.org/abs/1601.00991","Wilmott / arXiv","Canonical WorldQuant disclosure of 101 executable price-volume alpha formulas."
"EN002","paper","2015","Performance v. Turnover: A Story by 4,000 Alphas","https://doi.org/10.48550/arxiv.1509.08110","arXiv / Journal of Investment Strategies","Large proprietary-alpha study linking turnover, return, and volatility."
"EN003","book","2019","Finding Alphas: A Quantitative Approach to Building Trading Strategies, 2nd Edition","https://onlinelibrary.wiley.com/doi/book/10.1002/9781119571278","Wiley","WorldQuant practitioners describe alpha design, correlation, bias control, and machine learning."
"EN004","platform","2026","WorldQuant BRAIN","https://www.worldquant.com/brain/","WorldQuant","Official crowdsourced platform for constructing and simulating formulaic alphas."
"EN005","code","2019","WorldQuant Alpha101 Code","https://github.com/yli188/WorldQuant_alpha101_code","GitHub","Widely used Python implementation of the 101 Formulaic Alphas."
"EN006","code","2025","alpha101 Python package","https://github.com/diyizhilunba/alpha101","GitHub","Packaged implementation and analysis interface for WorldQuant Alpha101."
"EN007","code","2018","Genetic-Alpha","https://github.com/Morgansy/Genetic-Alpha","GitHub","Genetic-programming engine specialized for time-series alpha-factor generation."
"EN008","paper","2020","AutoAlpha: an Efficient Hierarchical Evolutionary Algorithm for Mining Alpha Factors in Quantitative Investment","https://doi.org/10.48550/arxiv.2002.08245","arXiv","Introduces hierarchical evolutionary search and PCA quality-diversity for formulaic alphas."
"EN009","paper","2021","AlphaEvolve: A Learning Framework to Discover Novel Alphas in Quantitative Investment","https://doi.org/10.1145/3448016.3457324","ACM SIGMOD","AutoML framework evolves scalar, vector, and matrix alphas while pruning redundancy."
"EN010","paper","2023","Generating Synergistic Formulaic Alpha Collections via Reinforcement Learning","https://doi.org/10.1145/3580305.3599831","ACM KDD","AlphaGen optimizes factor sets for downstream combination performance rather than isolated IC."
"EN011","code","2023","AlphaGen","https://github.com/ICT-FinD-Lab/alphagen","GitHub","Official AlphaGen implementation with RL, GP, DSO, Qlib, and LLM extensions."
"EN012","paper","2024","Synergistic Formulaic Alpha Generation for Quantitative Trading based on Reinforcement Learning","https://arxiv.org/abs/2401.02710","arXiv","Extends synergistic RL alpha mining with expanded search and seed initialization."
"EN013","paper","2025","AlphaForge: A Framework to Mine and Dynamically Combine Formulaic Alpha Factors","https://doi.org/10.1609/aaai.v39i12.33365","AAAI","Two-stage neural factor generation plus time-varying factor selection and combination."
"EN014","code","2025","AlphaForge","https://github.com/DulyHao/AlphaForge","GitHub","Official code for mining a factor zoo and dynamically combining selected alphas."
"EN015","paper","2024","Alpha Mining and Enhancing via Warm Start Genetic Programming for Quantitative Investment","https://doi.org/10.48550/arxiv.2412.00896","arXiv","Uses informed initialization and structural constraints to focus GP on promising alpha regions."
"EN016","paper","2024","RiskMiner: Discovering Formulaic Alphas via Risk Seeking Monte Carlo Tree Search","https://doi.org/10.1145/3677052.3698613","ACM ICAIF","Uses reward-dense risk-seeking MCTS to improve exploration and factor-set synergy."
"EN017","paper","2024","Alpha2: Discovering Logical Formulaic Alphas using Deep Reinforcement Learning","https://doi.org/10.48550/arxiv.2406.16505","arXiv","Combines DRL, MCTS, dimensional analysis, and diversity-aware alpha construction."
"EN018","code","2024","Alpha2","https://github.com/x35f/alpha2","GitHub","Research code for program-style logical alpha construction with DRL-guided MCTS."
"EN019","paper","2025","QuantFactor REINFORCE: Mining Steady Formulaic Alpha Factors With Variance-Bounded REINFORCE","https://doi.org/10.1109/TSP.2025.3576781","IEEE Transactions on Signal Processing","Stabilizes RL formula mining through variance-bounded REINFORCE design."
"EN020","paper","2025","AlphaQCM: Alpha Discovery with Distributional Reinforcement Learning","https://openreview.net/forum?id=IS7kW28VVt","OpenReview","Uses quantiled conditional moments to address sparse, nonstationary alpha-mining rewards."
"EN021","paper","2026","AlphaSAGE: Structure-Aware Alpha Mining via GFlowNets for Robust Exploration","https://proceedings.iclr.cc/paper_files/paper/2026/hash/06115011841a8d500050261c0ac4b1e4-Abstract-Conference.html","ICLR","GFlowNet and graph encoding target diverse, structurally novel, predictive alphas."
"EN022","code","2026","AlphaSAGE","https://github.com/BerkinChen/AlphaSAGE","GitHub","Official implementation of structure-aware GFlowNet alpha generation."
"EN023","paper","2026","Alpha Discovery via Grammar-Guided Learning and Search","https://arxiv.org/abs/2601.22119","arXiv","AlphaCFG constrains formula language and applies grammar-aware learning and search."
"EN024","paper","2026","AlphaFormer: End-to-End Symbolic Regression of Alpha Factors with Transformers","https://proceedings.mlr.press/v328/huang26a.html","AISTATS / PMLR","Pretrained encoder-decoder generates synergistic alpha expressions without per-market retraining."
"EN025","paper","2026","AlphaEval: A Comprehensive and Efficient Evaluation Framework for Formula Alpha Mining","https://doi.org/10.1145/3770855.3817727","ACM KDD","Backtest-free evaluation spans prediction, stability, robustness, logic, and diversity."
"EN026","paper","2023","Mining profitable alpha factors via convolution kernel learning","https://doi.org/10.1007/s10489-023-05014-4","Applied Intelligence","Iterative sparse convolution-kernel evolution yields interpretable entry-signal factors."
"EN027","paper","2025","Symbolic Modeling for financial asset pricing","https://doi.org/10.1016/j.jfds.2025.100150","Journal of Finance and Data Science","Combines deep learning and genetic programming to discover shared nonlinear pricing equations."
